Timestamp;Year;Short/Full Paper;Please select your nominated AGILE Best Paper.;Have you considered the reproducibility of research published in your nominated paper?;Do you agree with our rating? Please comment;Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [The need to invest more time into the publication];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Lack of knowledge how to include data/methods/results into the publication];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Lack of tools that would help to attach data/methods/results to the publication];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Lack of motivation or incentive];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Legal restrictions (e.g. privacy issues or copyright)];Please add here if there were any other hindering circumstances;What would you suggest to AGILE community to encourage publishing fully reproducible papers?;We would like to ask for your consent to discuss your answers to this survey in our publication.;
10/23/2017 23:47:43;2013;Short;"Schwering et al. (2013) ""Orientation Information in Different Forms of Route Instructions""";Yes, it is important to me that my research is fully reproducible;yes. It was a short paper mostly on ideas. Thus, data was lacking, algorithm was specified (but it did not yet exist in very detail);Moderately hindered;Moderately hindered;Not at all;Not at all;Not at all;;I would publish my data without incentive, if tools and procedure existed;Yes, I agree that my answers will be discussed in a publication.;
10/23/2017 23:52:49;2016;Full;"Almer et al. (2016) ""Critical Situation Monitoring at Large Scale Events from Airborne Video Based Crowd Dynamics Analysis Alexander""";Yes, I have somewhat considered reproducibility;Yes;Strongly hindered;Not at all;Not at all;Strongly hindered;Main reason;time, money, not possible for a company to share source code;no;Yes, I agree that my answers will be discussed in a publication.;
10/23/2017 23:55:57;2012;Full;"Magalhaes et al. (2012) ""A new method for computing the drainage network based on raising the level of an ocean surrounding the terrain""";Yes, it is important to me that my research is fully reproducible;I don't agree. Our input datasets are available at the NASA SRTM website. We also describe our computational environment (a regular desktop computer) and one could reproduce it easily (although the computer used in the experiments -- with a Core 2 Duo processor - is outdated nowadays).;Strongly hindered;Strongly hindered;Strongly hindered;Slightly hindered;Not at all;;I enjoy the Reproducibility Stamp initiative (http://www.replicabilitystamp.org/) and I think that it would be excellent if AGILE created a similar project.;Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 0:54:30;2013;Short;"Stein & Schlieder (2013) ""A Geowiki for Participatory Mobility 2 Volunteered Geographic Information""";Yes, I have somewhat considered reproducibility;I did not check the papers of the other authors. I agree with the rating ouf our paper, our concern was to clearly describe the algorithm.;Moderately hindered;Not at all;Not at all;Not at all;Not at all;From my point of view what is missing are the details of the simulation. To have a full description of the simulation in the paper would simply take too much space without giving that much value to the reader (our paper was a short paper). We could have put the source code for the simulation online somewhere. This would take additional work and time as we would have to clean up the program code, add comments, to make it readible for others.;"As papers have length restrictions (page count/word count) you need some platform where one can upload raw data, program code, etc. and which stays accessible for a long time. The data should be uploaded in a structured way which is usable for others (this can include e.g. huge databases of spatial data).
The community has to value the work of collecting and preprocessing the data as an important work on its own (otherwise one group has all the work of producing the data and other groups use it to write papers and get the reward).";Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 1:01:16;2010;Full;"Raubal & Winter (2010) ""A spatio-temporal model towards ad-hoc collaborative decision-making""";Yes, it is important to me that my research is fully reproducible;"""Not applicable"" is appropriate, because this paper is a conceptual paper. Specifications can be tested for consistency, but there is no reproducibility.";Not at all;Not at all;Not at all;Moderately hindered;Main reason;This particular paper had no data. But in principle, much of the data we are using is protected for privacy reasons - and this is a challenge for the whole community.;As far as ethical or legal issues of publishing the data are in the way there is no solution to the dilemma. If it is only lazyness / convenience that could be addressed by a policy of AGILE demanding publication of the data.;Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 5:27:17;2012;Full;The author has not agreed that one's answers would be included in the publication.;;;;;;;;;;;
10/24/2017 5:29:05;2013;Full;The author has not agreed that one's answers would be included in the publication.;;;;;;;;;;;
10/24/2017 12:46:37;2017;Short;The author has not agreed that one's answers would be included in the publication.;;;;;;;;;;;
10/24/2017 13:42:05;2014;Full;"Scheider et al. (2014) ""Encoding and Querying Historic Map Content""";Yes, I have somewhat considered reproducibility;I agree. I would like to add that, the technologies underlying GIScience change very fast and the funding has time windows . Standards guarantee data availability even after the project is over. But code is different, specially when it depends on other technologies. Code is hard to maintain beyond the founding (and the research project) is over.;Slightly hindered;Not at all;Main reason;Strongly hindered;Not at all;Technical obsolescence;;Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 14:54:33;2014;Short;"Wiemann & Bernard (2014) ""Linking crowdsourced observations with INSPIRE""";No, I was not concerned with it;Just partly. The short paper is about introducing the concept and first ideas for linking different datasets. The focus was accordingly not on actual data, algorithms or results. Thus, I'd rather replace the zeros with x.;Main reason;Not at all;Not at all;Not at all;Not at all;;"I strongly support the idea of reproducable research for full paper publications. If applicable, it should be considered and rated in the review process, especially for best paper suggestions. However, I would relax this in the case of short papers, which are often used to present first ideas and start discussions. Here, full reproducibility requirements would put an unneccessary burden on authors. 

On the website, a section to promote reproducable research (links to data, code and results) could be established to enhance the reputation of the conference. Nevertheless, the major obstacle for reproducable research of AGILE papers is the limited access to papers (e.g. TU Dresden has no corresponding subscription)...but that's another issue, I guess.";Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 15:21:46;2016;Full;"Wiemann (2016) ""Spatial Data Relations as a Means to Enrich Species Observations from Crowdsourcing""";Yes, I have somewhat considered reproducibility;"Partly. Even though I documented the methodology and results, I'm curious, if anyone is really able to reproduce all of the results based on that documentation (I hope so, but I'm not fully confident). At that point, I'm surprised that ""available upon request"" counts as ""unavailable"". I'd differentiate here, because there might be good reasons for not putting everything online.";Main reason;Not at all;Not at all;Not at all;Not at all;The main reason for not putting R-Scripts online was the missing time (and to be honest missing motivation) for code cleanup;;Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 16:24:55;2017;Short;"Haumann et al. (2017) ""Energy-based Routing and Cruising Range Estimation for Electric Bicycles""";Yes, it is important to me that my research is fully reproducible;I think so. You'll find a much more detailed explanation of all preprocessing, algorithms and the computational environment in the master's thesis of Simon Haumann, upon which our contribution was based (and which should be referenced).;Moderately hindered;Slightly hindered;Slightly hindered;Moderately hindered;Slightly hindered;I think one often has the feeling that all data, code, etc. should be formatted and documented in a proper way - which can be a time-consuming task (before the submission deadline there is no time, and afterwards not really a strong incentive except making the research reproducible).;"Provide an easy way to attach data, code, etc. to the publication, and urge researchers to use this possibility (or make repositories ""open"", etc.).";Yes, I agree that my answers will be discussed in a publication.;
10/24/2017 18:22:42;2013;Short;"Schwering et al. (2013) ""Orientation Information in Different Forms of Route Instructions""";Yes, it is important to me that my research is fully reproducible;yes;Slightly hindered;Moderately hindered;Strongly hindered;Strongly hindered;Main reason;page /submission limit or requirement ;;Yes, I agree that my answers will be discussed in a publication.;
